Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
11.80745,0.1552272034,1.950743408,9.401200104
11.81748,0.1591191101,1.936223602,9.407936096
11.827511,0.1428030396,1.93772049,9.442214813
11.837542,0.116308136,1.944007416,9.445807343
11.847572,0.08217910767,1.951192474,9.486971741
11.857603,0.06780899048,1.974394226,9.545050964
11.867633,0.03996688843,1.985321503,9.528136139
11.877664,0.02230361938,1.974693604,9.554631042
11.887695,0.00209564209,2.007325745,9.589059448
11.897725,-0.03158432007,2.028282166,9.607920227
11.907756,-0.04400848389,2.015408936,9.626481628
11.917787,-0.06346801758,2.042502594,9.620194702
11.927817,-0.08247848511,2.066153412,9.622290344
11.937848,-0.07753875732,2.067949677,9.647887115
11.947879,-0.08577163696,2.08276886,9.650431824
11.957909,-0.09505233765,2.104773102,9.638307037
11.96794,-0.08666976929,2.096989288,9.641151123
11.977971,-0.09639953613,2.0862117,9.62393692
11.988001,-0.07903564453,2.09100174,9.608668671
11.998032,-0.05658233643,2.097288666,9.593101044
12.008063,-0.04086502075,2.067799988,9.576635284
12.018093,-0.03577560425,2.066303101,9.56660614
12.028124,-0.02305206299,2.064656525,9.531429291
12.038154,0.01152603149,2.040257263,9.515711975
12.048185,0.02948867798,2.013912048,9.49879715
12.058216,0.04086502075,2.007774811,9.481133881
12.068246,0.07694000244,1.969604187,9.468709717
12.078277,0.07918533325,1.944456482,9.42619812
12.088308,0.09340576172,1.982028351,9.443112946
12.098338,0.1185534668,1.978435822,9.513167267
12.108369,0.1002914429,1.943708038,9.482032013
12.1184,0.1158590698,1.968406677,9.419611816
12.12843,0.1374142456,1.967209167,9.486522675
12.138461,0.1076261902,1.943857727,9.497000885
12.148492,0.1194515991,1.963017883,9.460925903
12.158522,0.1508862305,1.960473175,9.452693024
12.168553,0.133971405,1.958527222,9.461075592
12.178584,0.1363664246,1.961820374,9.508975983
12.188614,0.1338217163,1.973047028,9.525441742
12.198645,0.1336720276,1.984123993,9.481582947
12.208675,0.1154100037,1.992805939,9.499844971
12.218706,0.1257385254,2.006427612,9.520052948
12.228737,0.1187031555,2.007774811,9.534273376
12.238767,0.1216969299,2.010918274,9.545799408
12.248798,0.113613739,2.047891388,9.54789505
12.258829,0.1055305481,2.043849792,9.560019836
12.268859,0.09699829102,2.046544189,9.564660187
12.27889,0.07828720093,2.056872711,9.540709991
12.288921,0.07125183105,2.054178314,9.562863922
12.298951,0.06301895142,2.052681427,9.56780365
12.308982,0.05852828979,2.060165863,9.56076828
12.319013,0.01960922241,2.056872711,9.56196579
12.329043,0.01392105103,2.046394501,9.54789505
12.339074,0.009280700684,2.036065979,9.569599915
12.349105,0.0007484436035,2.046544189,9.548044739
12.359135,-0.01257385254,2.047741699,9.548493805
12.369166,-0.02978805542,2.054328003,9.545500031
12.379197,-0.04011657715,2.06525528,9.513167267
12.389227,-0.06212081909,2.013462982,9.492659912
12.399258,-0.0426612854,2.029779053,9.495803375
12.409289,-0.02814147949,2.03831131,9.535470886
12.41931908,-0.05553451538,2.011966095,9.571845245
12.42935008,-0.05358856201,2.023791504,9.489666138
12.43938008,-0.03936813354,2.020049286,9.462273102
12.44941108,-0.0419128418,1.976789246,9.506281586
12.45944208,-0.02619552612,1.99265625,9.551188202
12.46947208,0.002395019531,1.974094849,9.514664154
12.47950308,0.008981323242,1.972897339,9.47649353
12.48953408,0.01526824951,1.972597961,9.469757538
12.49956408,0.01901046753,1.978286133,9.557175751
12.50959508,0.05703140259,1.959575043,9.551337891
12.51962608,0.05119354248,1.973196716,9.4835289
12.52965608,0.07065307617,1.948947144,9.470206604
12.53968708,0.08562194824,1.948348389,9.550739136
12.54971808,0.1005908203,1.970202942,9.560917969
12.55974808,0.1062789917,1.976938934,9.508826294
12.56977908,0.1228944397,1.96690979,9.480385437
12.57981008,0.1309776306,1.981429596,9.527387695
12.58984008,0.1392105103,1.970202942,9.567504272
12.59987108,0.1293310547,1.980082397,9.544302521
12.60990208,0.1348695374,2.010918274,9.498497772
12.61993208,0.1460961914,2.011517029,9.512568512
12.62996308,0.1327738953,1.994901581,9.551936646
12.63999408,0.1429527283,2.027683411,9.524693298
12.65002408,0.1390608215,2.037562866,9.525142365
12.66005508,0.1390608215,2.026785278,9.502988434
12.67008508,0.1347198486,2.056872711,9.517208862
12.68011608,0.1279838562,2.060614929,9.524693298
12.69014708,0.1053808594,2.045945435,9.5034375
12.70017708,0.1079255676,2.071691895,9.481433258
12.71020808,0.0904119873,2.064955902,9.494905243
12.72023908,0.07933502197,2.067201233,9.508975983
12.73026908,0.06047424316,2.056273956,9.506131897
12.74030008,0.04730163574,2.055675201,9.498647461
12.75033108,0.0520916748,2.077380066,9.506730652
12.76036108,0.03128494263,2.054777069,9.546996918
12.77039208,0.01466949463,2.074086914,9.519005127
12.78042308,0.01047821045,2.077978821,9.533524933
12.79045308,-0.01362167358,2.048041077,9.571994934
12.80048408,-0.0347277832,2.041604462,9.572444
12.81051508,-0.03787124634,2.048939209,9.572893066
12.82054508,-0.04849914551,2.022893372,9.545500031
